b'Sanity must prevail @ArvindKejriwal must call leaders from Pro &amp; Anti CAA to restore peace &amp; sit down to talk. Prot\\u2026 https://t.co/Eg6fZIyDm2',b'1231937436101435392',b'Narender Kumar',b'narry13',"b'New Delhi, Delhi'",b'Indian Army Veteran  & Security Analyst',b'1548',b'204',b'7',b'9684',b'8636',b'False',b'False',b'True',b'False',b'2009-11-21 08:09:00'
b'@vinodkapri Abe kutte ye @KapilMishra_IND kaha se a Gaya??? Jo aag laga raha hai dunga Kar raha hai wo bechare maso\\u2026 https://t.co/nhIwH4nMlt',b'1231937431257174016',b'Rajeev',b'Rajeev43767418',b'',b'',b'89',b'39',b'1',b'15507',b'13995',b'False',b'True',b'True',b'False',b'2017-10-12 18:41:57'
b'@Name15621601 @supermaniac111 @JavedSuri @kaif_ur @_YogendraYadav Pro CAA wale sirf bakws kar rahe hai kahin pe maa\\u2026 https://t.co/QhaAq1kmsw',b'1231937409165746176',b'Kanishk Joshi \\U0001f1ee\\U0001f1f3',b'knshkj',b'\\u091a\\u092a\\u091f\\u0940 \\u0927\\u0930\\u0924\\u0940 ',b'\\u0915\\u093e\\u0932 \\u0915\\u0947 \\u0915\\u092a\\u093e\\u0932 \\u092a\\u0947 \\u0932\\u093f\\u0916\\u0924\\u093e \\u092e\\u093f\\u091f\\u093e\\u0924\\u093e \\u0939\\u0942\\u0902 \\u0964\\u0917\\u0940\\u0924 \\u0928\\u092f\\u093e \\u0917\\u093e\\u0924\\u093e \\u0939\\u0942\\u0902\\u0964',b'82',b'739',b'0',b'3433',b'22289',b'False',b'False',b'True',b'False',b'2015-04-05 20:33:16'
b'@MajorPoonia @DelhiPolice u can find CCtv footage of stone pelters goons PRo CAA k hain \\u270c',b'1231937357076549633',b'mohammedwaseem',b'inspiring_95',b'',b'coMrade',b'4',b'11',b'0',b'140',b'117',b'False',b'False',b'True',b'False',b'2019-12-16 19:28:15'
"b'Dear senior journalists, \\n\\nCAA is already an act. \\n\\nThere can be no such thing as \\u2018Pro CAA protestors\\u2019. \\n\\nThose who\\u2026 https://t.co/AurMsbmGG4'",b'1231937228940570627',b'Roopali Srivastava',b'RoopaliSriv',"b'New Delhi, India'","b'sustainability, environment, politics, gender issues, books, travel, kids and the world they will inhabit...'",b'776',b'486',b'53',b'8060',b'5008',b'False',b'False',b'True',b'False',b'2013-10-16 06:04:59'
b'Kapil Mishra is responsible because he called for pro CAA protestors to come on road and support.\\U0001f914\\nBut Sharzeel Ima\\u2026 https://t.co/DAMsEiwU4g',b'1231937168089600001',b'Sanjay Chauhan',b'singhsanjaychau',"b'Delhi, India'","b""Hate sickular Intellectuals, like BJP's ideology.A proud Hindu Indian.\\nBlessed to be followed by office of Piyush Goyal ji.\\U0001f6a9Jai Shri Ram \\U0001f6a9""",b'2900',b'3467',b'1',b'97087',b'114742',b'False',b'False',b'True',b'False',b'2017-02-13 13:05:14'
b'This shit has really gotten out of a control man. Delhi legitimately has lost all control. Feeling really bad for t\\u2026 https://t.co/Pm3VlOB1zb',b'1231937146883334149',b'Anish Pereira',b'AnishPereira',b'',b'19 || Law Student || Sneaker Enthusiast ||',b'14',b'125',b'0',b'404',b'2059',b'False',b'False',b'True',b'False',b'2019-07-30 18:14:13'
b'#ShahMustResign\\n\\nThere is widespread violence in many areas of Delhi right now and clashes among anti CAA &amp; pro CAA\\u2026 https://t.co/rBHMvLdk12',b'1231937140562378752',b'New Delhi Congress Sevadal',b'SevadalDLN',"b'New Delhi, India'",b'Official Twitter handle of New Delhi Congress Sevadal. \\n@CongressSevadal  is headed by the Chief Organiser Shri Lalji Desai. RTs are not endorsements.',b'97',b'56',b'0',b'298',b'253',b'False',b'False',b'True',b'False',b'2019-01-09 14:51:50'
b'@AdityaRajKaul Hey bigots..Just arrest them..Why police and Pro CAA goons are charging at people..Several videos ar\\u2026 https://t.co/t3cRLcCXVg',b'1231937122317156352',b'Sciencee',b'Sciencee16',b'',b'Sciencee',b'1',b'20',b'0',b'159',b'7',b'False',b'False',b'True',b'False',b'2020-02-23 13:56:59'
"b""Whatever is happening in different parts of Delhi is extremely bad.\\nYou can't blame Pro CAA or anti CAA only.\\nmain\\u2026 https://t.co/STy6KjZQQ7""",b'1231937067384541185',b'Manu V',b'mjbill2014',b'New Delhi- India',"b""#Outspoken; Unbiased-No illusion in my mind about Pol\\nI was taught to be honest straightforward and outspoken - a big disadvantage in today's street-smart world""",b'206',b'946',b'1',b'34079',b'109272',b'False',b'False',b'True',b'False',b'2015-12-28 18:26:40'
b'@Nidhi pro caa k!lled him might u want to add.',b'1231937056714018816',b'rumi \\U0001f1ee\\U0001f1f3',b'RumiSiddiqui',b'India',"b'mazloom nahi, mazboot bano \\U0001f4aa\\U0001f3fb\\u270a\\U0001f3fc\\U0001f44a\\U0001f3fc'",b'281',b'1358',b'2',b'20574',b'33997',b'False',b'False',b'False',b'False',b'2009-05-31 12:27:33'
b'From Discover on Google https://t.co/4XpKSwOigX',b'1231936985582927873',b'Khadija Atheist',b'QaziKhadija',"b'Mumbai, India'","b'Mumbai,India'",b'27',b'3',b'0',b'5818',b'544',b'False',b'False',b'True',b'False',b'2019-09-10 04:57:16'
"b'@saurabh3vedi Even if it was a saffron flag, how can someone say who was carrying it was pro caa? Even ajmal kasab\\u2026 https://t.co/iogliHhv71'",b'1231936955425972224',b'.',b'auca_z',b'India',b'',b'113',b'20',b'0',b'4480',b'12982',b'False',b'False',b'True',b'False',b'2017-08-13 04:56:35'
b'@SrishtySharma_ @HMOIndia @AmitShah @myogiadityanath @narendramodi @KapilMishra_IND @Atheist_Krishna 1 was anti caa\\u2026 https://t.co/oxHUBgPH6c',b'1231936910857101312',b'Alt Chronicle',b'alt_chronicle',b'',b'FOLLOW ME ILL follow u back',b'14',b'38',b'0',b'975',b'3272',b'False',b'False',b'True',b'False',b'2018-06-23 16:50:36'
