"b'Berulang kali kita saksikan, bagaimana penegakan hukum di negara mayoritas Muslim ini hanya menyasar pada umat Isla\\u2026 https://t.co/3TWxnYtCBg'",b'1232220361514635264',b'Yogiipra',b'DFans04',b'',b'\\u200f\\u200f\\u200f\\u200f\\u062b\\u064f\\u0645\\u064e\\u0651 \\u062a\\u064e\\u0643\\u064f\\u0648\\u0652\\u0646\\u064f \\u062e\\u0650\\u0644\\u0622\\u0641\\u064e\\u0629\\u064b \\u0639\\u064e\\u0644\\u064e\\u0649 \\u0645\\u0650\\u0646\\u0652\\u0647\\u064e\\u0627\\u062c\\u0650 \\u0627\\u0644\\u0646\\u064f\\u0651\\u0628\\u064f\\u0648\\u064e\\u0651\\u0629\\u0650\\xa0',b'56',b'118',b'0',b'1422',b'416',b'False',b'False',b'True',b'False',b'2019-04-04 20:16:46'
b'@AHammoudMI @BernieSanders @UMichFootball @lsarsour @WaywardWinifred @People4Bernie @MIpplsCampaign @DebtCrisisOrg\\u2026 https://t.co/YoXG5B3WnM',b'1232220360856129537',b'Gabrielle Abbas',b'GabrielleAbbas',b'',b'',b'0',b'0',b'0',b'7',b'0',b'False',b'True',b'True',b'False',b'2020-02-25 08:02:02'
b'@ShayarImran Mashallah.... Salam hai inpe jo aaj ekta ki mishal pesh kar rhe hain jab bade se bade neta bhadka rahe\\u2026 https://t.co/e1Y0in7lZC',b'1232220360009035776',b'Suhel khan',b'Suhelkh36721648',"b'Uttar Pradesh, India'",b'Indian and insaan as well',b'118',b'271',b'0',b'4327',b'7300',b'False',b'False',b'True',b'False',b'2019-06-17 15:28:09'
b'@AfghanImranKha1 @SaiPras75383884 @timesfactcheck @lohewaliladki @iRupND Jahil Sunni shiya ahmadiya etc desh me ja\\u2026 https://t.co/4kbP95jmhv',b'1232220358784188417',b'RajkumarTapadia',b'TapadiaRajkumar',b'',b'',b'84',b'274',b'0',b'5146',b'7389',b'False',b'True',b'True',b'False',b'2020-01-19 04:48:41'
b'Ya Allah Rehem on our muslim brothers in India.\\nThanks Jinnah \\U0001f1f5\\U0001f1f0\\n\\n #DelhiRiots #DelhiBurning #DelhiViolence\\u2026 https://t.co/k3Iv04oVDj',b'1232220340308316160',b'Nosherwan Adil Laiq',b'adillaiqpak',b'',"b'Founder @SRIUOK\\nRehabilitator,Social Reformer, CSS Aspirant\\nSociologist, UOK Moheb e Watan Pakistani \\U0001f1f5\\U0001f1f0\\nViews are personal, \\nOfficial account @nosherwanadilpk'",b'104',b'2985',b'0',b'66',b'830',b'False',b'False',b'True',b'False',b'2015-04-26 08:07:18'
b'@skprabhakar242 @SudhirRTI @sanjay43210 Kisse muqabla karna chaiye?  Aap to itne dare hue hai ki ye bolne ki bhi hi\\u2026 https://t.co/Ygi50YjJYj',b'1232220323979972609',b'MUHFAT',b'AnshumanP2',"b'\\u092c\\u0948\\u0902\\u0917\\u0932\\u0941\\u0930\\u0941, \\u092d\\u093e\\u0930\\u0924'","b'Left, right, center, \\u0935\\u093f\\u0937\\u092f \\u0905\\u0928\\u0941\\u0938\\u093e\\u0930.'",b'39',b'128',b'0',b'5222',b'4950',b'False',b'False',b'True',b'False',b'2019-09-18 08:29:56'
b'Sudah sangat nyata bahwa rezim sangat takut bangkitnya umat muslim\\n &gt;&gt; #SaveAdvokatPejuang &lt;&lt;\\n #HukumTajamKeMuslim\\u2026 https://t.co/gvwYEzoTiK',b'1232220313682767876',b'ambunajwa',b'NiaKurn57940733',"b'Jawa Barat, Indonesia'",b'ibu rumah tangga',b'198',b'79',b'0',b'1509',b'70',b'False',b'False',b'True',b'False',b'2019-03-06 07:10:27'
b'Negeri muslim berisi penguasa munafik.\\n &gt;&gt; #SaveAdvokatPejuang &lt;&lt;\\n #KawalKetuaLBHPU . #DampingiKetuaLBHPU\\n#ZTJ3\\n\\n@ThariqahDakwah',b'1232220308930613248',b'HusnaNyar',b'HusnaNyar',b'Gresik',b'ManutAturan',b'32',b'93',b'0',b'762',b'37',b'False',b'False',b'True',b'False',b'2019-11-09 18:07:52'
b'Umat Islam harus waspada terhadap  upaya kriminalisasi terhadap Muslim yang kritis dan vokal \\n &gt;&gt;\\u2026 https://t.co/i83esf4Jzi',b'1232220300239990784',b'Rizna',b'Rhizna1924',b'',"b'Rabb saksikanlah, kami telah sampaikan'",b'365',b'471',b'1',b'5531',b'1418',b'False',b'False',b'True',b'False',b'2012-04-04 06:18:06'
"b'Umat muslim selalu di kanan, kiri, depan dan belakang bersama ketua LBH Pelita Umat\\n &gt;&gt; #SaveAdvokatPejuang &lt;&lt;\\u2026 https://t.co/5y7WNnHrzi'",b'1232220295324426241',b'Shisha',b'Shishashishaaja',"b'Kota Malang, Jawa Timur'","b'no one in the world, hanya pejuang Khilafah.'",b'45',b'83',b'0',b'361',b'1',b'False',b'False',b'True',b'False',b'2020-01-13 04:31:56'
